Nome;Custo_USD;Frete_USD;Embalagem_R$;II_%;IPI_%;ICMS_%;PIS_%;COFINS_;IOF_;Marketplace;Modo_Venda;Tamanho_Kit;Preco_Base
PRODUTO;CUSTO;TX FRETE ;EMBALAGEM;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;IMPOSTOS;Marketplace;UNIDADE;Quant. Pçs;Valor de Venda
Protetor de Privacidade de Câmera;1,276169699;4;0,5;0,81;0,81;0,81;0,81;0,81;0,81;Shopee;UNIDADE;5;18
Protetor de Privacidade de Câmera;2,552339399;4;0,5;1,377;1,377;1,377;1,377;1,377;1,377;Shopee;UNIDADE;10;30,6
Protetor de Privacidade de Câmera;3,828509098;4;0,5;1,8225;1,8225;1,8225;1,8225;1,8225;1,8225;Shopee;UNIDADE;15;40,5
Protetor de Privacidade de Câmera;1,276169699;6,25;0,5;0,81;0,81;0,81;0,81;0,81;0,81;MercadoLivre Clássico;UNIDADE;5;18
Protetor de Privacidade de Câmera;2,552339399;6,5;0,5;1,377;1,377;1,377;1,377;1,377;1,377;MercadoLivre Clássico;UNIDADE;10;30,6
Protetor de Privacidade de Câmera;3,828509098;6,5;0,5;1,8225;1,8225;1,8225;1,8225;1,8225;1,8225;MercadoLivre Clássico;UNIDADE;15;40,5
Protetor de Privacidade de Câmera;1,276169699;12,35;0,5;1,2915;1,2915;1,2915;1,2915;1,2915;1,2915;MercadoLivre Clássico C/ Frete;UNIDADE;5;28,7
Protetor de Privacidade de Câmera;2,552339399;12,35;0,5;1,935;1,935;1,935;1,935;1,935;1,935;MercadoLivre Clássico C/ Frete;UNIDADE;10;43
Protetor de Privacidade de Câmera;3,828509098;12,35;0,5;2,5425;2,5425;2,5425;2,5425;2,5425;2,5425;MercadoLivre Clássico C/ Frete;UNIDADE;15;56,5
Protetor de Privacidade de Câmera;1,276169699;12,35;0,5;0,945;0,945;0,945;0,945;0,945;0,945;MercadoLivre Premium C/ Parcelamento;UNIDADE;5;21
Protetor de Privacidade de Câmera;2,552339399;12,35;0,5;1,5255;1,5255;1,5255;1,5255;1,5255;1,5255;MercadoLivre Premium C/ Parcelamento;UNIDADE;10;33,9
Protetor de Privacidade de Câmera;3,828509098;12,35;0,5;2,43;2,43;2,43;2,43;2,43;2,43;MercadoLivre Premium C/ Parcelamento;UNIDADE;15;54
Protetor de Privacidade de Câmera;1,276169699;12,35;0,5;1,3455;1,3455;1,3455;1,3455;1,3455;1,3455;MercadoLivre Premium C/ Parcelamento e Frete;UNIDADE;5;29,9
